Al,As,B,Co,Cu,Fe,Ga,Ge,Ni,P,S,Sb,Se,Sn,Te,Ti,Tl,Y,Zr,shear_modulus
0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.74,0.0,8.699999999999998,69.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,64.7,0.0,13.3,0.0,0.0,0.0,0.0,6.280000066666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,14.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,18.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,8.588709800000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.333333333333332,0.0,0.0,64.46666666666667,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,10.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,7.2885001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,15.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,7.894000099999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,20.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,9.757
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.73,0.0,9.090000000000002,68.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,12.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.23,0.0,0.0,0.0,13.26,63.51,0.0,0.0,0.0,0.0,0.0,0.0,7.96
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.32,0.0,0.0,0.0,3.3,73.37,0.0,0.0,0.0,0.0,0.0,0.0,6.570000066666668
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.333333333333332,0.0,0.0,64.66666666666666,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.070000200000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.333333333333332,0.0,8.571428571428571,68.09523809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.81,0.0,9.52,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,6.160731585714286
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,10.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,7.234285685714286
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,20.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,10.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,9.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.32,0.0,10.53,63.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66
0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.46,0.0,0.0,0.0,6.91,66.63,0.0,0.0,0.0,0.0,0.0,0.0,10.4399996
0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,0.0,0.0,65.33333333333334,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.929999799999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67,0.0,0.0,0.0,6.69,66.63,0.0,0.0,0.0,0.0,0.0,0.0,7.4699998999999995
