,y_pr,y_ac
357,747.6582,745.0
358,450.3428,470.15
359,566.8994,570.15
360,496.30405,538.15
361,575.73206,555.15
362,343.86987,344.15
363,541.57904,547.15
364,441.53488,443.15
365,394.9645,392.15
366,443.04767,442.075
367,621.99536,620.15
368,454.01736,472.15
369,359.05002,369.15
370,427.7774,514.2916666666666
371,348.11847,362.075
372,409.8585,413.15
373,706.6774,760.0
374,422.90103,464.65
375,530.8811,528.15
376,316.92023,309.5500015
377,713.58203,714.0
378,360.73624,369.15
379,418.40256,392.15
380,526.68365,543.0
381,361.34988,347.11249999999995
382,618.65,647.075
383,467.89948,471.7645470383276
